family,method_label,bibkey,update_target,signal_source,B1,B2,B3,B4,timing_regime,venue,evidence_status,note_path,rationale_short
F2,TTRL,zuo2025ttrl,parameters,majority-vote pseudo-label reward,Y,Y,Y,N/A, full_cohort_transductive,NeurIPS 2025,explicit,read/zuo2025ttrl.md,Majority vote over N test-time rollouts forms a pseudo-label that drives GRPO; canonical test-time RL.
F2,ETTRL,liu2025ettrl,parameters,entropy-regularized majority,Y,Y,Y,N/A, full_cohort_transductive,arXiv 2025,explicit,read/liu2025ettrl.md,Entropy-regularized majority-vote RL to balance exploration vs. consensus at test time.
F2,ECHO,zhao2026echo,parameters,majority + entropy-shaped advantage,Y,Y,Y,N/A, full_cohort_transductive,arXiv 2026,explicit,read/zhao2026echo.md,Majority-vote reward shaped by entropy-based advantage; consensus is the gradient target.
F2,SPINE,wu2025spine,parameters,majority + entropy-band token mask,Y,Y,Y,N/A, full_cohort_transductive,arXiv 2025,explicit,read/wu2025spine.md,Majority-vote reward with an entropy-band token mask selecting which tokens receive gradient.
F2,Self-Harmony,wang2026selfharmony,parameters,paraphrase pairwise agreement,Y,Y,Y,Y, full_cohort_transductive,ICLR 2026,explicit,read/wang2026selfharmony.md,Paraphrase-pair agreement between solver and reframer (same model) as the reward signal.
F2,DARE,du2026dare,parameters,soft frequency reward,Y,Y,Y,N/A, full_cohort_transductive,arXiv 2026,explicit,read/du2026dare.md,Soft frequency reward derived from rollout distribution; smoother than hard majority vote.
F2,SCOPE,wang2025scope,parameters,majority on training prompts,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/wang2025scope.md,"Fine-grained reward beyond majority vote, computed from multi-sample agreement statistics."
F2,COMPASS,xing2025compass,parameters,majority on training prompts,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/xing2025compass.md,Composite path-and-answer self-scoring at training time; reward from multi-rollout structure.
F2,SCRL,yan2026scrl,parameters,majority on training prompts,Y,Y,Y,N/A, offline_corpus,arXiv 2026,explicit,read/yan2026scrl.md,Selective-complementary RL that detects spurious consensus and reweights gradients across rollouts.
F2,RLCCF,yuan2025rlccf,parameters,cross-population pairwise consensus,Y,N,Y,N, offline_corpus,arXiv 2025,explicit,read/yuan2025rlccf.md,"Coevolutionary cross-population voting as the reward; B2/B4 caveat: heterogeneous LLMs, not strict same-lineage."
F2,RoiRL,arzhantsev2025roirl,parameters,majority-vote reward,Y,Y,Y,N/A, offline_corpus,NeurIPS 2025 Workshop,explicit,read/arzhantsev2025roirl.md,Offline iterative RL on majority-vote rewards; same recipe as TTRL but in train-time regime.
F2,EVOL-RL,zhou2025evolrl,parameters,majority + semantic-novelty reward,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/zhou2025evolrl.md,Majority reward plus semantic-novelty bonus to prevent entropy collapse under pure consensus.
F2,TTRV,singh2025ttrv,parameters,frequency + entropy reward (VLM),Y,Y,Y,N/A, full_cohort_transductive,arXiv 2025,explicit,read/singh2025ttrv.md,TTRV ports majority-vote test-time RL to VLMs with a frequency-plus-entropy reward.
F2,MM-UPT,wei2025mmupt,parameters,majority on self-generated MM prompts,Y,Y,Y,N/A, offline_corpus,NeurIPS 2025,explicit,read/wei2025mmupt.md,MM-UPT runs majority-vote RL on a VLM with self-generated multimodal prompts; train-time variant.
F2,Dual Consensus,du2026dualconsensusescapingspurious,parameters,anchor-explorer voting,Y,Y,Y,Y, offline_corpus,arXiv 2026,explicit,read/du2026dualconsensusescapingspurious.md,Anchor-explorer dual-voting escapes spurious-majority collapse; same-lineage two-head reward.
F2,CSRS,yu2026stabilizingunsupervisedselfevolutionmllms,parameters,softened frequency over retraced MM,Y,Y,Y,N/A, offline_corpus,arXiv 2026,explicit,read/yu2026stabilizingunsupervisedselfevolutionmllms.md,CSRS uses soft frequency over retraced multimodal reasoning sets to stabilize MLLM self-evolution.
F2,EvoQuality,wen2026selfevolvingvisionlanguagemodelsimage,parameters,majority-voted pairwise rankings,Y,Y,Y,N/A, offline_corpus,ICLR 2026,explicit,read/wen2026selfevolvingvisionlanguagemodelsimage.md,Repeated VLM pairwise judgments aggregated into majority-voted rankings for image-quality self-evolution.
F3,Self-Tuning,zhang2025selftuning,parameters,document-grounded self-instructions,Y,Y,Y,N/A, offline_corpus,ACL Findings 2025,explicit,read/zhang2025selftuning.md,Self-Tuning generates document-grounded self-instructions and SFTs on them; no human seeds.
F3,KBAlign,zeng2025kbalign,parameters,KB-grounded self-instructions,Y,Y,Y,N/A, offline_corpus,EMNLP Findings 2025,explicit,read/zeng2025kbalign.md,"KBAlign aligns the model to a private KB via self-generated, KB-grounded instructions."
F3,CYCLE-INSTRUCT,shen2025cycleinstruct,parameters,cycle-consistent self-instructions,Y,Y,Y,N/A, offline_corpus,EMNLP 2025,explicit,read/shen2025cycleinstruct.md,Two heads of one model alternately generate and verify instructions via cycle consistency; fully seed-free.
F3,Self-Improve,huang2023selfimprove,parameters,SC-filtered CoT rationales,Y,Y,Y,N/A, offline_corpus,EMNLP 2023,explicit,read/huang2023selfimprove.md,"Self-consistency-filtered rationales become SFT targets; gradient is on kept generations, not the filter."
F3,Quiet-STaR,zelikman2024quietstar,parameters,latent rationales during CPT,Y,Y,Y,N/A, offline_corpus,arXiv 2024,explicit,read/zelikman2024quietstar.md,Quiet-STaR bootstraps latent rationales during CPT and SFTs on them with a per-token soft objective.
F3,Confident ST,wang2025confidentreasoning,parameters,confidence-selected rationales,Y,Y,Y,Y, offline_corpus,EMNLP Findings 2025,explicit,read/wang2025confidentreasoning.md,Confidence-selected reasoning traces become SFT targets; boundary-with-F4 noted.
F3,GENIUS,xu2025genius,parameters,foresight-resampled rationales,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/xu2025genius.md,"Foresight-resampled trajectories become SFT targets; consensus is a selection mask, gradient is SFT."
F3,LRM Self-Train,shi2025lrmselftrain,parameters,majority-filtered traces (target),Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/shi2025lrmselftrain.md,"Majority-vote-kept trajectories become SFT targets; gradient is on the synthetic target, not the vote."
F3,DTE,liu2025dte,parameters,multi-agent debate trajectories,Y,Y,Y,Y, offline_corpus,EMNLP 2025,explicit,read/liu2025dte.md,Multi-agent debate trajectories become SFT targets; selection by debate consensus.
F3,LongMagpie,gao2025longmagpie,parameters,long-context self-instructions,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/gao2025longmagpie.md,LongMagpie self-generates long-context instructions without an external selector; SFT on the synthesized pairs.
F3,Long Self-Improve,wang2024longselfimprove,parameters,MBR-selected long rationales,Y,Y,Y,N/A, offline_corpus,arXiv 2024,explicit,read/wang2024longselfimprove.md,Long-context self-improvement: MBR-selected long rationales become SFT targets.
F3,TTCS,yang2026ttcs,parameters,SC-curriculum at test time,Y,Y,Y,N/A, full_cohort_transductive,arXiv 2026,explicit,read/yang2026ttcs.md,Test-time curriculum synthesis: SC-filtered curriculum becomes the SFT target on each test cohort.
F3,DiSCTT,moradi2026disctt,parameters,SC-curriculum at test time,Y,Y,Y,N/A, full_cohort_transductive,arXiv 2026,explicit,read/moradi2026disctt.md,Consensus-guided self-curriculum at test time; synthesized curriculum is the gradient target.
F3,TTSR,he2026ttsr,parameters,foresight-curriculum at test time,Y,Y,Y,N/A, full_cohort_transductive,arXiv 2026,explicit,read/he2026ttsr.md,Test-time self-reflection generates a foresight curriculum and trains on it.
F3,R-Zero,huang2026rzero,parameters,Challenger-Solver curriculum,Y,Y,Y,N/A, offline_corpus,arXiv 2025,explicit,read/huang2026rzero.md,Challenger proposes problems at the Solver's boundary; Solver trains on majority-vote pseudo-labels of synthesized problems.
F3,ScPO,prasad2025scpo,parameters,SC-ranked preference pairs,Y,Y,Y,N/A, offline_corpus,ICML 2025,explicit,read/prasad2025scpo.md,Self-consistency-ranked preference pairs feed DPO; preferences are the synthesized target.
F3,MACA,samanta2025maca,parameters,multi-agent-debate preferences,Y,Y,Y,Y, offline_corpus,arXiv 2025,explicit,read/samanta2025maca.md,Multi-agent collaborative debate produces preference pairs for DPO training.
F3,LongPO,chen2025longpo,parameters,short-vs-long preference pairs,Y,Y,Y,N/A, offline_corpus,ICLR 2025,explicit,read/chen2025longpo.md,Short-vs-long response pairs of the same prompt form a preference-pair target for long-context DPO.
F3,RLSF,vanniekerk2025rlsf,parameters,confidence-ranked preferences,Y,Y,Y,Y, offline_corpus,arXiv 2025,explicit,read/vanniekerk2025rlsf.md,P(True)-style confidence ranks rationales to form preference pairs for DPO; boundary-with-F4 noted.
F3,G-Zero,huang2026gzeroselfplayopenendedgeneration,parameters,proposer-generator hint-driven pairs,Y,Y,Y,N/A, offline_corpus,arXiv 2026,explicit,read/huang2026gzeroselfplayopenendedgeneration.md,G-Zero runs proposer-generator self-play with hint-driven preference pairs; open-ended generation.
F3,QueST,song2026queryconditionedtesttimeselftraininglarge,sample-local state (LoRA),query-conditioned self-instructions,Y,Y,Y,N/A, test_time_instance,arXiv 2026,explicit,read/song2026queryconditionedtesttimeselftraininglarge.md,QueST generates query-conditioned auxiliary problems at test time and trains a LoRA on them.
F3,V-Zero,wang2026vzeroselfimprovingmultimodalreasoning,parameters,questioner-solver MM curriculum,Y,Y,Y,N/A, offline_corpus,arXiv 2026,explicit,read/wang2026vzeroselfimprovingmultimodalreasoning.md,V-Zero trains a questioner-solver VLM loop on unlabeled images with majority-voted pseudo-labels.
F4,Self-Rewarding LM,yuan2024selfrewarding,parameters,self-judge preferences (DPO),Y,Y,Y,Y, offline_corpus,ICML 2024,explicit,read/yuan2024selfrewarding.md,Self-Rewarding LM alternates actor and judge roles; chosen/rejected pairs feed iterative DPO.
F4,CREAM,wang2024cream,parameters,cross-iteration consistent self-judge,Y,Y,Y,Y, offline_corpus,ICLR 2025,explicit,read/wang2024cream.md,CREAM adds cross-iteration consistency regularization to counter bias amplification in the self-judge.
F4,Meta-Rewarding,wu2024metarewarding,parameters,meta-judge over judgments,Y,Y,Y,Y, offline_corpus,arXiv 2024,explicit,read/wu2024metarewarding.md,Meta-Rewarding elevates a meta-judge over judgments to counter judge saturation.
F4,Temporal SRLM,jin2025temporalselfrewarding,parameters,temporal-anchored self-judge,Y,Y,Y,Y, offline_corpus,arXiv 2025,explicit,read/jin2025temporalselfrewarding.md,Temporal SRLM anchors chosen/rejected pairs to frozen-past or future-self models to fix gradient vanishing.
F4,CoNL,sui2026conl,parameters,critique-helpfulness BT reward,Y,Y,Y,Y, offline_corpus,arXiv 2026,explicit,read/sui2026conl.md,CoNL turns critique helpfulness into a Bradley-Terry-aggregated reward; structured multi-agent debate.
F4,RLME,rentschler2026rlme,parameters,NL meta-judgment as scalar,Y,Y,Y,Y, offline_corpus,arXiv 2026,explicit,read/rentschler2026rlme.md,RLME uses the internal evaluator's natural-language meta-judgment as a scalar PG reward.
F4,Meta-TTRL,tan2026metattrl,parameters,metacognitive introspector reward,Y,Y,Y,Y, full_cohort_transductive,arXiv 2026,explicit,read/tan2026metattrl.md,Meta-TTRL drives test-time RL with a metacognitive introspector as evaluator (multimodal).
F4,AERO,gao2026aeroautonomousevolutionaryreasoning,parameters,counterfactual critique (KTO),Y,Y,Y,Y, offline_corpus,arXiv 2026,explicit,read/gao2026aeroautonomousevolutionaryreasoning.md,AERO uses self-generated tasks and counterfactual critique for KTO-style updates; endogenous critique loop.
F4,Self-Judge,wu2026modelsjudgethemselvesunsupervised,parameters,same-lineage frozen judge,Y,Y,Y,Y, offline_corpus,arXiv 2026,explicit,read/wu2026modelsjudgethemselvesunsupervised.md,Same-lineage frozen judge modulates actor self-consistency; judge-gated reward.
F4,GvU,pan2026learninggenerateunderstandingunderstandingdriven,parameters,understanding-branch evaluator,Y,Y,Y,Y, offline_corpus,CVPR 2026,explicit,read/pan2026learninggenerateunderstandingunderstandingdriven.md,Understanding-branch evaluator drives policy updates of the generation branch; Family-I/IV bridge marked ^ddagger.
